lon,lat,pv_kwh_kwp_y,ghi_kwh_m2_y,wind100_ms_mean_2023,openmeteo_ghi_kwh_m2_2023
13.847225319029373,51.458375306503775,879.83,1122.72,6.202684931506848,4250.81
14.152516659514687,51.458375306503775,881.67,1124.25,6.157753424657535,4237.42
14.457808,51.458375306503775,879.86,1122.24,6.2504109589041095,4233.75
14.763099340485313,51.458375306503775,864.01,1102.63,6.046356164383562,4216.07
15.068390680970627,51.458375306503775,867.18,1105.99,6.057150684931506,4202.58
13.847225319029373,51.647020653251886,886.01,1129.17,6.264849315068493,4252.43
14.152516659514687,51.647020653251886,900.78,1146.69,6.126438356164384,4234.870000000001
14.457808,51.647020653251886,873.71,1114.47,6.22854794520548,4211.56
14.763099340485313,51.647020653251886,874.09,1115.05,6.131260273972604,4192.700000000001
15.068390680970627,51.647020653251886,877.61,1118.79,6.318109589041095,4227.469999999999
13.847225319029373,51.835666,889.69,1135.31,6.1368767123287675,4250.48
14.152516659514687,51.835666,891.25,1138.0,5.973342465753423,4241.96
14.457808,51.835666,890.0,1135.93,6.182383561643835,4198.450000000001
14.763099340485313,51.835666,877.72,1120.94,5.9622465753424665,4201.360000000001
15.068390680970627,51.835666,872.54,1113.91,6.12372602739726,4162.110000000001
13.847225319029373,52.02431134674812,876.33,1119.29,5.911342465753425,4217.82
14.152516659514687,52.02431134674812,869.95,1111.77,5.9518356164383555,4194.24
14.457808,52.02431134674812,869.27,1108.7,6.2026301369863015,4195.89
14.763099340485313,52.02431134674812,867.37,1107.95,5.991452054794521,4211.96
15.068390680970627,52.02431134674812,870.74,1111.98,6.031780821917808,4183.2
13.847225319029373,52.21295669349623,866.48,1105.86,6.025835616438355,4184.9
14.152516659514687,52.21295669349623,884.31,1127.61,5.983397260273973,4234.4400000000005
14.457808,52.21295669349623,863.56,1101.67,6.204082191780821,4183.29
14.763099340485313,52.21295669349623,864.23,1104.19,5.903068493150685,4193.12
15.068390680970627,52.21295669349623,854.82,1092.12,5.942273972602741,4152.8
